Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
80,13,red,100,1,['f'],0.5295759629989334,skew
85,13,red,100,0,['j'],0.9814648370011128,skew
15,13,red,75,0,['f'],2.356797704998826,skew
20,13,red,75,1,['j'],3.0450266529987857,skew
25,13,red,75,0,['f'],2.6716337439993367,skew
30,13,red,75,1,['f'],1.8916492839998682,skew
35,13,red,75,1,['j'],2.052856194999549,skew
40,13,red,75,1,['j'],1.6720860990008077,skew
45,13,red,75,0,['f'],1.6316935569993802,skew
50,13,red,75,1,['j'],1.668455377999635,skew
55,13,red,75,0,['j'],0.46183149999887974,skew
60,13,red,75,1,['f'],0.9783512590001919,skew
65,13,red,75,0,['j'],0.8092129090000526,skew
70,13,red,75,1,['f'],0.4003143860009004,skew
75,13,red,75,0,['j'],0.4420288139990589,skew
80,13,red,75,0,['j'],0.48070242699941446,skew
85,13,red,75,0,['j'],0.4681099200006429,skew
15,13,red,50,1,['j'],1.2434536589989875,skew
20,13,red,50,1,['j'],1.1641885520002688,skew
25,13,red,50,1,['f'],0.8048888840003201,skew
30,13,red,50,0,['f'],0.9830605419992935,skew
35,13,red,50,1,['f'],1.1651976789999026,skew
40,13,red,50,1,['j'],1.1253596290007408,skew
45,13,red,50,0,['f'],0.8554889999995794,skew
50,13,red,50,0,['f'],0.9163855489987327,skew
55,13,red,50,0,['j'],0.6502598240003863,skew
60,13,red,50,0,['j'],0.5202089379999961,skew
65,13,red,50,1,['f'],0.5697251219989994,skew
70,13,red,50,0,['j'],0.5908742829997209,skew
75,13,red,50,1,['f'],1.1391934160001256,skew
80,13,red,50,0,['j'],1.0077066180001566,skew
85,13,red,50,1,['f'],1.0405861900017044,skew
15,13,yellow,100,0,['f'],2.071549603000676,True_unkown
20,13,yellow,100,0,['f'],1.23326945700137,True_unkown
25,13,yellow,100,0,['f'],0.9970168439995177,True_unkown
30,13,yellow,100,0,['f'],0.6629971410002327,True_unkown
35,13,yellow,100,0,['f'],0.6132533340005466,True_unkown
40,13,yellow,100,1,['f'],0.8695098270000017,True_unkown
45,13,yellow,100,1,['f'],0.8302008299997397,True_unkown
50,13,yellow,100,1,['f'],1.6374104309998074,True_unkown
55,13,yellow,100,1,['f'],0.5550783090002369,True_unkown
60,13,yellow,100,0,['j'],0.7322879999992438,True_unkown
65,13,yellow,100,1,['f'],0.5307471500000247,True_unkown
70,13,yellow,100,0,['j'],0.5483363879993703,True_unkown
75,13,yellow,100,0,['j'],0.5599547669989988,True_unkown
80,13,yellow,100,1,['f'],0.4666243169995141,True_unkown
85,13,yellow,100,1,['f'],0.58541001499907,True_unkown
15,13,yellow,75,0,['f'],2.3328415979995043,True_unkown
20,13,yellow,75,1,['j'],1.1068464599993604,True_unkown
25,13,yellow,75,1,['j'],1.2439623690006556,True_unkown
30,13,yellow,75,0,['f'],0.5794106869998359,True_unkown
35,13,yellow,75,1,['j'],0.8065037870001106,True_unkown
40,13,yellow,75,0,['f'],0.835606579999876,True_unkown
45,13,yellow,75,1,['f'],1.075999574000889,True_unkown
50,13,yellow,75,0,['j'],0.6134397410005477,True_unkown
55,13,yellow,75,0,['j'],0.713670713999818,True_unkown
60,13,yellow,75,0,['j'],0.5722085629986395,True_unkown
65,13,yellow,75,0,['j'],0.558143210999333,True_unkown
70,13,yellow,75,1,['f'],0.6046478520001983,True_unkown
75,13,yellow,75,1,['f'],0.6036244279985112,True_unkown
80,13,yellow,75,1,['f'],0.5770576300001267,True_unkown
85,13,yellow,75,1,['f'],0.6205862810002145,True_unkown
15,13,yellow,50,1,['j'],1.5331920170010562,True_unkown
20,13,yellow,50,0,['f'],0.8984394640010578,True_unkown
25,13,yellow,50,1,['j'],1.6753448300005402,True_unkown
30,13,yellow,50,1,['j'],0.7598901300007128,True_unkown
35,13,yellow,50,0,['f'],0.6470424159997492,True_unkown
40,13,yellow,50,1,['j'],0.6866074839999783,True_unkown
45,13,yellow,50,1,['j'],1.4835671559994807,True_unkown
50,13,yellow,50,0,['f'],0.48022898599992914,True_unkown
55,13,yellow,50,0,['j'],0.9905471999991278,True_unkown
60,13,yellow,50,0,['j'],0.6564968380007485,True_unkown
65,13,yellow,50,1,['f'],0.5776595370007271,True_unkown
70,13,yellow,50,1,['f'],0.5786172640000586,True_unkown
75,13,yellow,50,1,['f'],0.6375188080000953,True_unkown
80,13,yellow,50,1,['f'],0.9927126879993011,True_unkown
85,13,yellow,50,0,['j'],0.6797835059987847,True_unkown
