Keypress	RT
f	1.854651927947998	1.5	Safe	Sure.jpg	5.0	70	slot_blue.png
f	1.7452199459075928	3.0	90	slot_red.png	1.5	Safe	Sure.jpg
f	2.566847085952759	1.5	Safe	Sure.jpg	1.5	50	slot_green.png
f	1.7173709869384766	1.5	Safe	Sure.jpg	1.5	60	slot_blue.png
j	1.8785359859466553	1.5	Safe	Sure.jpg	5.0	90	slot_blue.png
j	3.2072179317474365	3.0	50	slot_green.png	1.5	Safe	Sure.jpg
j	2.1421260833740234	1.5	Safe	Sure.jpg	5.0	40	slot_green.png
j	2.105881929397583	1.5	Safe	Sure.jpg	5.0	90	slot_red.png
j	1.6693592071533203	1.5	60	slot_green.png	1.5	Safe	Sure.jpg
f	2.4273312091827393	3.0	80	slot_red.png	1.5	Safe	Sure.jpg
f	2.8482022285461426	1.5	Safe	Sure.jpg	1.5	70	slot_green.png
f	2.813109874725342	1.5	Safe	Sure.jpg	1.5	50	slot_green.png
f	2.728461980819702	1.5	Safe	Sure.jpg	1.5	80	slot_blue.png
j	3.6077919006347656	1.5	Safe	Sure.jpg	3.0	70	slot_blue.png
f	1.4358620643615723	1.5	Safe	Sure.jpg	5.0	0	slot_red.png
j	2.3985400199890137	1.5	Safe	Sure.jpg	3.0	70	slot_blue.png
f	2.5503640174865723	1.5	Safe	Sure.jpg	3.0	60	slot_green.png
f	2.655625104904175	5.0	50	slot_blue.png	1.5	Safe	Sure.jpg
NaN	6.013703107833862	5.0	70	slot_red.png	1.5	Safe	Sure.jpg
NaN	6.0164830684661865	1.5	Safe	Sure.jpg	3.0	100	slot_red.png
NaN	6.016377210617065	3.0	70	slot_blue.png	1.5	Safe	Sure.jpg
NaN	6.019397974014282	1.5	70	slot_blue.png	1.5	Safe	Sure.jpg
NaN	6.007956027984619	5.0	10	slot_red.png	1.5	Safe	Sure.jpg
f	3.5446810722351074	5.0	70	slot_blue.png	1.5	Safe	Sure.jpg
j	3.707752227783203	3.0	0	slot_red.png	1.5	Safe	Sure.jpg
j	3.8532259464263916	1.5	Safe	Sure.jpg	1.5	90	slot_blue.png
f	3.162290096282959	1.5	Safe	Sure.jpg	3.0	20	slot_green.png
j	4.145534992218018	1.5	Safe	Sure.jpg	5.0	70	slot_green.png
f	2.5169029235839844	1.5	Safe	Sure.jpg	1.5	30	slot_green.png
j	2.153676986694336	1.5	50	slot_green.png	1.5	Safe	Sure.jpg
f	1.6670079231262207	1.5	Safe	Sure.jpg	1.5	70	slot_blue.png
j	1.8331639766693115	3.0	50	slot_green.png	1.5	Safe	Sure.jpg
j	1.742654800415039	1.5	Safe	Sure.jpg	5.0	100	slot_red.png
j	3.3314390182495117	1.5	Safe	Sure.jpg	3.0	100	slot_blue.png
j	1.7784180641174316	1.5	80	slot_blue.png	1.5	Safe	Sure.jpg
j	1.827423095703125	1.5	80	slot_red.png	1.5	Safe	Sure.jpg
j	4.701779127120972	1.5	50	slot_blue.png	1.5	Safe	Sure.jpg
j	3.2456271648406982	5.0	20	slot_red.png	1.5	Safe	Sure.jpg
f	3.316771984100342	1.5	Safe	Sure.jpg	1.5	20	slot_red.png
j	3.4163320064544678	1.5	40	slot_green.png	1.5	Safe	Sure.jpg
f	3.9179930686950684	3.0	80	slot_green.png	1.5	Safe	Sure.jpg
f	1.6189301013946533	1.5	Safe	Sure.jpg	1.5	90	slot_red.png
f	2.8491628170013428	1.5	Safe	Sure.jpg	1.5	0	slot_red.png
f	2.9425110816955566	5.0	50	slot_green.png	1.5	Safe	Sure.jpg
j	4.662041902542114	1.5	Safe	Sure.jpg	3.0	40	slot_blue.png
j	4.56315803527832	3.0	30	slot_red.png	1.5	Safe	Sure.jpg
j	2.9842021465301514	3.0	60	slot_blue.png	1.5	Safe	Sure.jpg
j	4.733444929122925	5.0	30	slot_green.png	1.5	Safe	Sure.jpg
j	2.955012083053589	1.5	70	slot_blue.png	1.5	Safe	Sure.jpg
j	5.274531841278076	1.5	Safe	Sure.jpg	1.5	100	slot_red.png
j	1.674705982208252	1.5	Safe	Sure.jpg	3.0	100	slot_red.png
f	2.9659130573272705	3.0	80	slot_blue.png	1.5	Safe	Sure.jpg
f	3.209414005279541	5.0	60	slot_blue.png	1.5	Safe	Sure.jpg
j	4.777582883834839	1.5	Safe	Sure.jpg	5.0	50	slot_green.png
f	1.6554310321807861	1.5	Safe	Sure.jpg	1.5	60	slot_green.png
j	4.968847036361694	1.5	10	slot_red.png	1.5	Safe	Sure.jpg
j	1.8940789699554443	3.0	40	slot_green.png	1.5	Safe	Sure.jpg
f	1.2897179126739502	1.5	Safe	Sure.jpg	3.0	0	slot_red.png
j	2.3002841472625732	3.0	10	slot_red.png	1.5	Safe	Sure.jpg
j	3.694736957550049	3.0	50	slot_green.png	1.5	Safe	Sure.jpg
